Stock,Diff,Time1,Volatility,Momentum,Time2
1,1.6661172999999962,1,1.1781228410822187,1.6661172999999962,2.0
1,-1.4467264000000029,2,0.724145729532948,-0.7233632000000014,1.0
1,0.06856280000000936,1,0.04848122081714364,0.06856280000000936,1.0
1,-1.693501800000007,1,1.1974866067316294,-1.693501800000007,2.0
1,2.913950600000007,2,1.4690576249254927,1.4569753000000034,2.0
1,-0.7062276000000054,2,0.3598429269229448,-0.3531138000000027,1.0
1,0.3016865999999965,1,0.213324640653111,0.3016865999999965,2.0
1,-2.433990499999993,2,1.2265009180529876,-1.2169952499999965,1.0
1,0.747355099999993,1,0.5284598591643453,0.747355099999993,1.0
1,-0.1645608999999979,1,0.11636212830815984,-0.1645608999999979,2.0
1,1.3644002000000057,2,0.7447910827197756,0.6822001000000029,1.0
1,-0.41822310000000584,1,0.2957283900588637,-0.41822310000000584,1.0
1,0.42508960000000684,1,0.3005837387718819,0.42508960000000684,7.0
1,-6.98660283000001,7,2.84702248663217,-0.9980861185714299,1.0
1,0.4182129300000099,1,0.29572119878290193,0.4182129300000099,1.0
1,-2.1803080700000095,1,1.5417106213727605,-2.1803080700000095,1.0
1,0.048004140000003304,1,0.03394405291903073,0.048004140000003304,1.0
1,-0.7610575399999959,1,0.5381489474071492,-0.7610575399999959,3.0
1,2.6602477999999934,3,1.1057237972478007,0.8867492666666644,2.0
1,-1.1861571999999967,2,0.5931082049287908,-0.5930785999999983,1.0
1,1.1587422700000047,1,0.8193545167644968,1.1587422700000047,1.0
1,-0.5622050000000058,1,0.39753896791698706,-0.5622050000000058,4.0
1,3.25291953,4,1.1774752607835397,0.8132298825,1.0
1,-2.827412929999994,1,1.999282856017521,-2.827412929999994,5.0
1,6.175852499999991,5,2.3973593595355416,1.2351704999999982,1.0
1,-1.035105399999992,1,0.7319300475828081,-1.035105399999992,1.0
1,0.09726960000000417,1,0.06877999376330596,0.09726960000000417,1.0
1,-0.9239603000000045,1,0.65333859367716,-0.9239603000000045,2.0
1,1.4519145000000009,2,0.8362618624934928,0.7259572500000004,1.0
1,-1.0906474300000042,1,0.7712041936366835,-1.0906474300000042,1.0
1,2.5772908300000097,1,1.8224198229829123,2.5772908300000097,3.0
1,-3.674906370000002,3,1.8627995967136268,-1.2249687900000008,2.0
1,1.736724869999989,2,0.872439597489665,0.8683624349999945,2.0
2,-2.3535933061081806,1,1.6642417869043602,-2.3535933061081806,1.0
2,0.49912331321000636,1,0.3529334794190926,0.49912331321000636,3.0
2,-3.510109641335461,3,1.605507540107807,-1.1700365471118204,3.0
2,5.668912020597276,3,2.3879129780799957,1.8896373401990918,1.0
2,-0.00811212713091436,1,0.005736140104116915,-0.00811212713091436,2.0
2,3.9807794744318272,2,2.0990287541119472,1.9903897372159136,3.0
2,-2.231822620739095,3,1.0565803859804346,-0.7439408735796983,1.0
2,1.4892356178981885,1,1.0530486042003473,1.4892356178981885,1.0
2,-0.01218483664818848,1,0.008615980621584435,-0.01218483664818848,1.0
