Stock,Diff,Time1,Volatility,Momentum,SMA_3,SMA_10,MA_Diff,RSI,Time2
1,-8.83781947,29,3.1952622588174715,-0.30475239551724137,93.20287744333332,96.192469267,-2.989591823666686,20.340289132845868,11.0
1,5.323547399999995,11,1.4347799012288438,0.4839588545454541,97.04115804333333,95.62095336,1.4202046833333242,55.2715212550573,1.0
1,-2.827412929999994,1,1.999282856017521,-2.827412929999994,96.69619751,95.699844353,0.9963531570000015,43.211385388353705,12.0
1,7.252614300000005,12,2.0269285704398854,0.6043845250000004,101.10561115666667,100.42203165400001,0.6835795026666602,63.49123367193951,3.0
2,-5.364579634233635,5,2.1294215978422875,-1.072915926846727,103.65504039417577,106.43917125355081,1.9676816998107114,65.35853054885035,6.0
2,9.641579367898188,6,2.988705382743042,1.6069298946496982,110.53588497277424,107.21544411399108,3.320440858783158,65.35853054885035,10.0
2,-8.923295454545453,10,3.212453215953716,-0.8923295454545453,105.61905924479152,110.006467507102,-4.387408262310487,32.816379145683314,1.0
2,2.3982155539772663,1,1.6957944809643777,2.3982155539772663,105.02255711410969,109.35842174183207,-4.335864627722387,42.640326807206165,9.0
2,-11.703002929687273,9,4.0933518153333734,-1.3003336588541414,96.4170957623103,101.0056396484371,-4.5885438861268,25.549480334556364,1.0
2,3.4208207563918194,1,2.4188855540683503,3.4208207563918194,96.86888168797333,100.17742143110755,-3.3085397431342187,36.57614679686913,5.0
2,-8.541881214488455,5,2.9448260904798933,-1.7083762428976912,91.08637214429422,94.66435491388464,-3.5779827695904203,25.261446976655805,2.0
2,3.854991566051183,2,1.9281234301847783,1.9274957830255914,91.51785370797809,93.60930064808217,-2.0914469401040776,37.0055322668998,3.0
2,-6.780733975497185,3,3.0671734942430393,-2.2602446584990616,87.72101754853215,90.86494140624981,-3.1439238577176667,28.018346259573278,3.0
2,6.14770507812446,3,2.744087669810671,2.0492350260414867,90.09082401160015,89.88049260919732,0.21033140240282933,44.313089143922404,2.0
2,-2.657920143820462,2,1.335535871187974,-1.328960071910231,91.37853633996167,89.97788196910491,1.4006543708567563,39.768969522670524,1.0
2,2.763438831675913,1,1.9540463372722683,2.763438831675913,91.41370923591347,90.10936001864329,1.304349217270186,46.21443343805203,2.0
2,-5.230640758167453,2,2.6240916664013345,-2.6153203790837267,90.15034808534556,89.59441250887765,0.5559355764679026,37.715822710294944,1.0
