Day,Close,High,Low,Open,SMA_3,SMA_10,MA_Diff,Volatility,RSI,Daily_Return,Next_Day_Close,Target,Stock
14,100.9665527,102.2624017,99.30730947,99.53357153,100.96197169999999,101.74404603,-0.7820743300000146,0.9986828762216667,44.861434383399846,0.0074572049856442835,100.8019918,0,1
15,100.8019918,101.5424743,99.2387438,101.3367898,100.66258069999999,101.64051718,-0.977936480000011,0.937221003595991,43.863676334104746,-0.0016298555868194953,100.9665527,1,1
16,100.9665527,101.8715829,99.83525133,100.664873,100.91169906666666,101.7227946,-0.8110955333333436,0.5285471105824256,45.176786774158664,0.0016325163527175501,102.166392,1,1
17,102.166392,102.7080461,100.5962881,101.0762368,101.3116455,101.74679159,-0.4351460900000035,0.7086350110939856,53.68370421191952,0.011883532396763874,101.7481689,0,1
18,101.7481689,102.4543707,100.9939741,101.6521829,101.62703786666667,101.61583557,0.011202296666667166,0.5952724842947814,50.72887373822529,-0.004093548688692161,102.1732585,1,1
19,102.1732585,102.557212,101.1310962,101.1310962,102.02927313333333,101.57469685999999,0.4545762733333447,0.652940566153114,53.52870595808239,0.004177859951639995,101.9607137,0,1
20,101.9607137,103.0371567,101.4739087,102.5572079,101.9607137,101.53561807999999,0.42509562000000756,0.4991666173198561,51.93945815530291,-0.0020802390284929695,101.3162028,0,1
21,101.3162028,102.0841098,100.8088295,101.2682006,101.816725,101.40191955,0.4148054500000029,0.35690812443796677,47.34876758883807,-0.006321168973928093,99.61585487,0,1
22,99.61585487,101.4739267,99.00563913,100.5688873,100.96425712333333,101.193488557,-0.2292314336666692,1.026747478732454,37.845253233215665,-0.01678258642752839,98.1417338,0,1
23,98.1417338,99.005627,96.6881842,98.04573853,99.69126382333333,100.98574217699999,-1.294478353666662,1.720654797625639,31.872532970562816,-0.014798056714202312,97.13385007,0,1
24,97.13385007,98.58053433,95.85171347,98.45712367,98.29714624666667,100.60247191399999,-2.305325667333321,2.0445867364171924,28.554386471925554,-0.01026967520314992,95.31689453,0,1
25,95.31689453,97.12697267,94.7615282,96.26307047,96.86415946666666,100.053962187,-3.189802720333333,2.2974281849673424,23.75346596502827,-0.018705688477195115,95.18665567,0,1
26,95.18665567,97.14071347,94.69299452999999,95.61174613,95.87913342333333,99.475972484,-3.5968390606666674,1.887725287346269,23.4491257753711,-0.0013663774994160383,95.6048686,1,1
